link,title,site
/,,"CNN - Breaking News, Latest News and Videos"
/,Home,"CNN - Breaking News, Latest News and Videos"
/us,U.S.,"CNN - Breaking News, Latest News and Videos"
/world,World,"CNN - Breaking News, Latest News and Videos"
/politics,Politics,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com,Money,"CNN - Breaking News, Latest News and Videos"
/opinions,Opinion,"CNN - Breaking News, Latest News and Videos"
/health,Health,"CNN - Breaking News, Latest News and Videos"
/entertainment,Entertainment,"CNN - Breaking News, Latest News and Videos"
//money.cnn.com/technology,Tech,"CNN - Breaking News, Latest News and Videos"
/style,Style,"CNN - Breaking News, Latest News and Videos"
/travel,Travel,"CNN - Breaking News, Latest News and Videos"
http://www.huffpostarabi.com/?country=AR,عربي (Arabi),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.nytimes.com/content/help/site/ie9-support.html,LEARN MORE »,"The New York Times - Breaking News, World News & Multimedia"
//foxnews.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//bleacherreport.com,Sports,"CNN - Breaking News, Latest News and Videos"
/videos,Video,"CNN - Breaking News, Latest News and Videos"
/vr,VR,"CNN - Breaking News, Latest News and Videos"
http://cnn.it/go2,Live TV ,"CNN - Breaking News, Latest News and Videos"
/,Home,"CNN - Breaking News, Latest News and Videos"
/us,U.S.,"CNN - Breaking News, Latest News and Videos"
/specials/us/crime-and-justice,Crime + Justice,"CNN - Breaking News, Latest News and Videos"
/specials/us/energy-and-environment,Energy + Environment,"CNN - Breaking News, Latest News and Videos"
/specials/us/extreme-weather,Extreme Weather,"CNN - Breaking News, Latest News and Videos"
/specials/space-science,Space + Science,"CNN - Breaking News, Latest News and Videos"
http://www.huffingtonpost.com.au/?country=AU,Australia,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffpostbrasil.com/?country=BR,Brasil,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.ca/?country=CA,Canada,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.de/?country=DE,Deutschland,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.es/?country=ES,España,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.fr/?country=FR,France,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.gr/?country=GR,Ελλάδα (Greece),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.in/?country=IN,India,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.it/?country=IT,Italia,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.jp/?country=JP,日本 (Japan),Breaking News and Opinion on The Huffington Post | The Huffington Post
#top-news,Skip to content,"The New York Times - Breaking News, World News & Multimedia"
#site-index-navigation,Skip to navigation,"The New York Times - Breaking News, World News & Multimedia"
http://cn.nytimes.com,中文 (Chinese),"The New York Times - Breaking News, World News & Multimedia"
http://www.nytimes.com/es/,Español,"The New York Times - Breaking News, World News & Multimedia"
http://www.nytimes.com/,"
    ,

","The New York Times - Breaking News, World News & Multimedia"
http://www.nytimes.com/pages/todayspaper/index.html,Today’s Paper,"The New York Times - Breaking News, World News & Multimedia"
http://www.nytimes.com/video,Video,"The New York Times - Breaking News, World News & Multimedia"
//foxbusiness.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//www.foxnewsgo.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//radio.foxnews.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//nation.foxnews.com,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//foxnewsinsider.com/,,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//www.foxnews.com?intcmp=logo,FoxNews.com,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
#,Search,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
//www.facebook.com/FoxNews,Fox News Facebook,Fox News - Breaking News Updates | Latest News Headlines | Photos & News Videos
/world,World,"CNN - Breaking News, Latest News and Videos"
/africa,Africa,"CNN - Breaking News, Latest News and Videos"
/americas,Americas,"CNN - Breaking News, Latest News and Videos"
/asia,Asia,"CNN - Breaking News, Latest News and Videos"
/europe,Europe,"CNN - Breaking News, Latest News and Videos"
/middle-east,Middle East,"CNN - Breaking News, Latest News and Videos"
/politics,,"CNN - Breaking News, Latest News and Videos"
/specials/politics/president-donald-trump-45,45,"CNN - Breaking News, Latest News and Videos"
/specials/politics/congress-capitol-hill,Congress,"CNN - Breaking News, Latest News and Videos"
/,"
      ","NBC News - Breaking News & Top Stories - Latest World, US & Local News"
http://www.huffingtonpost.kr/?country=KR,한국 (Korea),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffpostmaghreb.com/?country=MG,Maghreb,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com.mx/?country=MX,México,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://quebec.huffingtonpost.ca/?country=QC,Québec (En Francais),Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.co.za/?country=ZA,South Africa,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.co.uk/?country=UK,United Kingdom,Breaking News and Opinion on The Huffington Post | The Huffington Post
http://www.huffingtonpost.com/?country=US,United States,Breaking News and Opinion on The Huffington Post | The Huffington Post
/,"
,
",Breaking News and Opinion on The Huffington Post | The Huffington Post
